,date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
3362,2020-01-09,8032.968114506669,24045990465.65,65.28,0.0129266024069937,9.77073660070236e+19,780267,29.78119837,1207659.27986576,11.2,1.0,663340.3571428572,2.6,129.90107690121567,28.051451970581734
3363,2020-01-10,8334.199527205148,28714583843.78,68.75,0.0132676013060242,1.0695956979513108e+20,784612,32.565134300000004,905096.25323477,11.2,1.0,674378.2857142857,2.6,163.48968244402658,55.13909806527071
3364,2020-01-11,7924.555444053724,25521165085.37,64.91,0.0121939218550983,9.575447719069916e+19,655704,18.38352814,593873.54312244,11.2,1.0,679265.3571428572,2.6,177.650476597124,79.64137377164137
3365,2020-01-12,7727.953137189222,22903438381.39,65.64,0.0116634027944581,1.1934016070854345e+20,590366,14.53164303,499843.4284741701,11.2,1.0,669254.3571428572,2.6,199.08182061568004,103.52946314044912
3366,2020-01-13,8046.742941980951,22482910687.9,67.85,0.0104340933406789,9.837881634338464e+19,682403,17.63102526,687746.86097144,11.2,1.0,675023.9285714285,3.0,209.75107036496772,124.77378458535284
3367,2020-01-14,9032.785945055806,44841784107.18,77.53,0.0131834829528171,9.825563466873666e+19,852442,26.221577,1248065.46393505,11.2,1.0,698615.4285714285,3.0,270.2496368634129,153.86895504096486
3368,2020-01-15,9056.644140228207,40102834649.97,77.01,0.0144470796719541,1.096202900226191e+20,769961,31.35812937,1599563.24457981,11.2,1.0,705156.2857142857,3.0,312.9134289400481,185.67784982078152
3369,2020-01-16,9102.20404363854,31313981930.82,80.43,0.013797374109156,1.156213905962724e+20,741776,23.85247351,886141.5484902901,11.2,1.0,707268.2857142857,3.0,336.13451964316573,215.76918378525835
3370,2020-01-17,8833.500368254203,36372139320.44,79.34,0.0135379674823751,1.2403616645048467e+20,757448,24.29323765,1114660.13374057,11.2,1.0,717387.0714285715,3.0,366.87046094557263,245.9894392173212
3371,2020-01-18,8759.333112477681,32337772626.8,78.95,0.0126921720735164,1.0677138509944485e+20,634559,17.76555017,503985.86223334,11.2,1.0,720117.2857142857,3.0,387.8690259924661,274.3653565723502
3372,2020-01-19,8275.696536741929,34217320471.4,72.53,0.0098011660362527,9.745660736112424e+19,636694,16.5175935,630221.1697348,11.2,1.0,713859.5,3.0,381.02954916080125,295.69819509004043
3373,2020-01-20,8888.393406517984,26422375678.05,67.43,0.0066303011293648,1.1573935355153054e+20,736438,17.74334005,977410.75821674,11.2,1.0,711344.0714285715,3.7,367.4516697886329,310.0488900297589
3374,2020-01-21,8505.660909056875,24097418512.01,63.1,0.0045385764540337,1.2040111163609915e+20,757020,20.51905021,666185.7897580101,25.6,1.0,712146.8571428572,3.7,359.6662802244728,319.9723680687017
3375,2020-01-22,8842.619237509858,22600204050.58,63.5,0.0022402168831378,1.0262058653356792e+20,783825,21.67952284,895496.73927182,25.6,1.0,712401.0,3.7,344.281174406462,324.8341293362538
3376,2020-01-23,8553.750303996789,25770680778.69,61.69,-0.0017525938753748,1.1551248874427376e+20,768892,21.03754657,865459.65273348,25.6,1.0,711278.1428571428,3.7,306.41761861917075,321.1508271928372
3377,2020-01-24,8230.138337089431,24397913025.68,57.08,-0.0042423622459824,1.1875316257991955e+20,733013,16.100823730000002,690975.73756611,25.6,1.0,716800.2142857143,3.7,276.36508775927905,312.19367930612555
3378,2020-01-25,8245.397315798578,19647331548.68,58.51,-0.0065692130516223,1.1740887991361389e+20,650857,11.39326294,486432.35543482,25.6,1.0,721121.0,3.7,243.4809607970365,298.4511356043077
3379,2020-01-26,8114.591556734991,22177678795.56,60.0,-0.0060713011543739,1.131463325896422e+20,573738,10.57299079,575835.37521024,25.6,1.0,719933.2857142857,3.7,233.2087069917816,285.4026498818025
3380,2020-01-27,8552.29441858171,28647338393.17,66.44,-0.0034058462797494,1.0941016288135473e+20,702915,19.78717492,1507420.6095861,25.6,1.0,721398.4285714285,3.0,247.47080675801408,277.81628125704486
3381,2020-01-28,9130.157944347353,34398744402.69,62.55,0.0011803283893992,9.35429939875344e+19,823221,22.98737848,1048632.16774928,25.6,1.0,719311.2142857143,3.0,291.6240435519794,280.57783371603176
3382,2020-01-29,9544.63542344736,30682598115.46,61.98,0.0033461499693961,1.086602871785515e+20,776159,20.42515898,891685.6254625301,25.6,1.0,719753.9285714285,3.0,319.5463831300204,288.3715435988295
3383,2020-01-30,9775.95633740992,32378792850.88,67.64,0.0054478989889039,1.3434276160580696e+20,763783,19.64580869,1453402.81722999,25.6,1.0,721325.8571428572,3.0,353.12658933640523,301.3225527463446
3384,2020-01-31,9536.67157926291,29432489719.13,59.84,0.005257290299829,1.1030055672803669e+20,772889,22.53135857,1202454.1535337,25.6,1.0,722428.7857142857,3.0,362.7706119086288,313.61216457880147
3385,2020-02-01,9409.347410824726,25922656496.18,60.32,0.0047660120247222,1.1740172592833756e+20,720033,17.4815999,816404.350466,25.6,1.0,728534.0714285715,3.0,369.57036076950135,324.80380381694147
3386,2020-02-02,9170.25462706699,30835736946.11,65.99,0.00359683009361,1.0743257758444878e+20,727237,16.94878932,690166.92280712,25.6,1.0,735001.4285714285,3.0,366.8164216810165,333.20632738975644
3387,2020-02-03,9382.94470898525,30934096508.74,65.87,0.0019984896985624,1.1185264053579429e+20,864995,21.53312454,1597770.48095489,25.6,1.0,744184.0714285715,3.5,356.42258508963096,337.84957892973136
3388,2020-02-04,9720.933593832697,29893183716.09,60.94,-0.0002275233647108,1.0894817686908512e+20,768226,23.74587464,895616.5823128701,25.6,1.0,744984.5,3.5,335.2384744479514,337.3273580333754
3389,2020-02-05,9704.756279786217,35222060874.46,69.33,0.0009979242367373,1.1102249494339337e+20,837536,25.44140813,846636.00222882,25.6,1.0,748821.0,3.5,349.3191944033533,339.725725307371
3390,2020-02-06,9996.120295448722,37628823715.51,79.08,0.0021318613944091,1.2080750925055376e+20,749129,27.10635364,1567807.88026421,25.6,1.0,747409.3571428572,3.5,365.6539624980578,344.9113727455084
3391,2020-02-07,9292.706965302486,34522718159.47,79.34,0.0028297211460177,1.03974142064403e+20,868589,31.51759356,1659457.19715184,25.6,1.0,757093.3571428572,3.5,379.5611092934196,351.8413200550907
3392,2020-02-08,9703.658822367586,35172043761.83,82.46,0.0032282231187344,1.0616343833318572e+20,723079,21.33690612,783169.36879463,25.6,1.0,762252.0714285715,3.5,391.6498284789213,359.80302173985683
3393,2020-02-09,10231.82493011503,35807884663.42,82.61,0.0045012255851237,1.0369039772142248e+20,686022,19.8217869,570173.82121305,25.6,1.0,770272.3571428572,3.5,416.72481019030784,371.18737942994704
3394,2020-02-10,9467.806679275216,39386548074.7,70.93,0.0032212581991278,1.1842925449907482e+20,708218,27.58066679,1044785.8974933,25.6,1.0,770651.1428571428,2.7,410.8757426667489,379.1250520773074
