date,value
2011-11-12,11482
2011-11-13,13104
2011-11-14,13220
2011-11-15,14691
2011-11-16,13106
2011-11-17,12268
2011-11-18,12265
2011-11-19,10174
2011-11-20,11013
2011-11-21,10444
2011-11-22,11489
2011-11-23,11364
2011-11-24,10972
2011-11-25,11514
2011-11-26,10255
2011-11-27,10815
2011-11-28,12645
2011-11-29,14735
2011-11-30,15161
2011-12-01,14223
2011-12-02,12915
2011-12-03,13099
2011-12-04,11618
2011-12-05,13358
2011-12-06,15120
2011-12-07,13108
2011-12-08,14099
2011-12-09,11646
2011-12-10,11990
2011-12-11,11902
2011-12-12,11460
2011-12-13,11933
2011-12-14,12005
2011-12-15,10405
2011-12-16,10534
2011-12-17,9958
2011-12-18,9955
2011-12-19,12637
2011-12-20,13868
2011-12-21,11719
2011-12-22,12176
2011-12-23,11732
2011-12-24,10318
2011-12-25,11829
2011-12-26,12271
2011-12-27,11605
2011-12-28,11047
2011-12-29,11125
2011-12-30,10437
2011-12-31,10983
2012-01-01,11474
2012-01-02,12094
2012-01-03,12934
2012-01-04,12763
2012-01-05,15378
2012-01-06,14524
2012-01-07,13829
2012-01-08,14549
2012-01-09,15286
2012-01-10,15541
2012-01-11,16961
2012-01-12,14087
2012-01-13,14317
2012-01-14,14683
2012-01-15,13421
2012-01-16,14860
2012-01-17,14887
2012-01-18,14263
2012-01-19,15211
2012-01-20,14105
2012-01-21,13487
2012-01-22,11492
2012-01-23,13508
2012-01-24,15215
2012-01-25,16707
2012-01-26,13823
2012-01-27,14379
2012-01-28,13257
2012-01-29,14267
2012-01-30,13370
2012-01-31,15858
2012-02-01,15161
2012-02-02,15694
2012-02-03,17088
2012-02-04,16038
2012-02-05,14720
2012-02-06,14174
2012-02-07,14474
2012-02-08,14819
2012-02-09,14871
2012-02-10,16819
2012-02-11,14944
2012-02-12,14056
2012-02-13,16556
2012-02-14,18756
2012-02-15,18243
2012-02-16,17722
2012-02-17,14218
2012-02-18,14337
2012-02-19,13197
2012-02-20,14828
2012-02-21,14362
2012-02-22,16120
2012-02-23,18129
2012-02-24,16256
2012-02-25,14844
2012-02-26,13193
2012-02-27,15336
2012-02-28,16054
2012-02-29,15562
2012-03-01,16097
2012-03-02,17925
2012-03-03,12413
2012-03-04,14600
2012-03-05,16264
2012-03-06,15360
2012-03-07,15193
2012-03-08,15555
2012-03-09,15970
2012-03-10,13042
2012-03-11,12053
2012-03-12,15290
2012-03-13,16216
2012-03-14,16391
2012-03-15,14920
2012-03-16,16092
2012-03-17,16492
2012-03-18,13966
2012-03-19,15579
2012-03-20,15537
2012-03-21,16079
2012-03-22,15782
2012-03-23,14184
2012-03-24,13792
2012-03-25,14501
2012-03-26,16361
2012-03-27,15179
2012-03-28,15846
2012-03-29,17441
2012-03-30,15053
2012-03-31,14120
2012-04-01,12842
2012-04-02,14925
2012-04-03,18598
2012-04-04,16652
2012-04-05,16870
2012-04-06,15543
2012-04-07,14271
2012-04-08,13664
2012-04-09,15395
2012-04-10,17407
2012-04-11,18806
2012-04-12,18394
2012-04-13,16330
2012-04-14,17049
2012-04-15,16157
2012-04-16,18862
2012-04-17,18828
2012-04-18,19340
2012-04-19,17558
2012-04-20,19264
2012-04-21,16495
2012-04-22,14447
2012-04-23,17264
2012-04-24,17187
2012-04-25,17264
2012-04-26,19928
2012-04-27,16191
2012-04-28,15943
2012-04-29,16232
2012-04-30,18877
2012-05-01,20427
2012-05-02,19907
2012-05-03,22009
2012-05-04,22962
2012-05-05,19627
2012-05-06,22444
2012-05-07,25802
2012-05-08,23419
2012-05-09,25272
2012-05-10,22041
2012-05-11,24667
2012-05-12,22910
2012-05-13,20661
2012-05-14,32619
2012-05-15,27730
2012-05-16,25132
2012-05-17,22883
2012-05-18,26196
2012-05-19,32917
2012-05-20,28225
2012-05-21,30487
2012-05-22,27919
2012-05-23,28839
2012-05-24,28799
2012-05-25,30265
2012-05-26,24989
2012-05-27,26493
2012-05-28,29737
2012-05-29,34480
2012-05-30,28755
2012-05-31,28044
2012-06-01,28549
2012-06-02,21002
2012-06-03,31043
2012-06-04,42162
2012-06-05,39781
2012-06-06,25187
2012-06-07,34826
2012-06-08,28664
2012-06-09,31108
2012-06-10,33266
2012-06-11,32475
2012-06-12,24995
2012-06-13,46530
2012-06-14,49894
2012-06-15,49687
2012-06-16,39061
2012-06-17,39723
2012-06-18,36797
2012-06-19,36392
2012-06-20,32748
2012-06-21,29558
2012-06-22,28511
2012-06-23,30627
2012-06-24,28191
2012-06-25,34552
2012-06-26,36059
2012-06-27,38748
2012-06-28,33425
2012-06-29,33393
2012-06-30,31588
2012-07-01,32067
2012-07-02,36621
2012-07-03,33766
2012-07-04,31437
2012-07-05,28191
2012-07-06,29504
2012-07-07,31952
2012-07-08,26508
2012-07-09,32749
2012-07-10,37181
2012-07-11,34994
2012-07-12,34534
2012-07-13,31537
2012-07-14,29266
2012-07-15,30708
2012-07-16,36788
