date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,active-count_smoothed,gesi_value,MACD,Signal_Line
2023-05-30,27702.3487747796,13251081851.39,56.85,0.005733122767462457,379321880.0,959148.0,2717578997.35824,75283321207833.81,863722.1428571428,0.0505,-141.27161891106516,-300.09258538393976
2023-05-31,27219.6586081109,15656371534.37,48.58,0.004866617180807489,350148490.0,925966.0,3431301491.791069,93398855188054.56,869744.5714285715,0.0505,-134.50801258650608,-266.97567082445306
2023-06-01,26819.9732197077,14678970414.58,50.23,0.0032040568953328828,336187210.0,919298.0,3687459597.7234793,98897567659697.84,877215.2142857143,0.0505,-159.55977066539344,-245.49249079264115
2023-06-02,27249.5889490884,14837414999.85,53.57,0.003006135901149976,417687139.0,982760.0,3105301689.675224,84618194606559.52,882814.2142857143,0.0505,-143.09753125334828,-225.01349888478256
2023-06-03,27075.1293984425,8385597470.09,49.69,0.0024384732495667623,331093464.0,873884.0,2070061018.0407543,56047169926125.04,893846.3571428572,0.0505,-142.48602542645676,-208.50800419311742
2023-06-04,27119.0671931263,9360912318.14,53.75,0.0021130479126125635,376937175.0,879948.0,1576273013.616206,42747053770969.57,901283.5,0.0505,-136.8781437875732,-194.18203211200859
2023-06-05,25760.0969995361,21513292646.48,41.33,-0.0014021837268766147,351468445.0,884289.0,3039689264.928618,78302690313009.78,906047.5714285715,0.07,-239.3325181313994,-203.21212931588678
2023-06-06,27238.7837262174,21929670692.82,50.33,0.00012612726444476081,384577792.0,1032895.0,3081878129.935029,83946611851859.58,918432.4285714285,0.07,-198.91768771814895,-202.35324099633922
2023-06-07,26345.9988512669,19530045081.91,50.33,-0.0010279464147437715,343827827.0,1004588.0,2879720193.292928,75869104904465.58,928798.0,0.07,-236.2060848238434,-209.12380976184008
2023-06-08,26508.2159021565,11904824295.26,50.42,-0.001227231061965778,392218409.0,964762.0,2955188802.9258275,78336782819593.25,931712.2142857143,0.07,-249.78844220236715,-217.2567362499455
2023-06-09,26480.3750935951,11015551640.28,48.55,-0.0012854041880651522,430421502.0,1020140.0,2312552076.438471,61237246407562.914,935778.2142857143,0.07,-259.80421755849966,-225.76623251165637
2023-06-10,25851.2410031697,19872933188.93,43.58,-0.0027576766780334832,392218409.0,943047.0,2299022634.963496,59432588208183.58,940476.8571428572,0.07,-314.8779380274864,-243.5885736148224
2023-06-11,25940.1680803434,10732609602.85,33.88,-0.0031998571457318584,415140264.0,872589.0,1835728223.472706,47619098666712.19,941098.9285714285,0.07,-347.34461385653776,-264.33978166316547
2023-06-12,25902.499869783,11677889997.4,35.49,-0.0033197788734092085,399859030.0,985947.0,3092719402.655595,80109163924561.9,946375.7857142857,0.0505,-371.8279964584035,-285.8374246222131
2023-06-13,25918.7284012682,14143474486.27,35.9,-0.0030754832680519985,374390300.0,933842.0,3067091259.736594,79495105343016.33,944568.2142857143,0.0505,-385.4781940313187,-305.76557850403424
2023-06-14,25124.6766798408,14265717765.8,34.17,-0.004755721557457689,312665624.0,828183.0,3287955132.691958,82608809646708.5,937583.7142857143,0.0505,-455.12303664212595,-335.6370701316526
2023-06-15,25576.3940082636,15837384409.1,40.76,-0.00415476852687122,385148460.0,919869.0,4099477121.139976,104849842078138.2,937624.5,0.0505,-468.4670662021417,-362.20306934575046
