date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
2014-02-20,556.1400146484,46905000.0,22.48,-0.023564264247426654,2.749659911030461e+16,178713,14.81614558,558917.04531212,68.5,-1.0,164552.0,1.5,-46.71528311519444,-33.61025285145181
2014-02-21,574.1599731445,47308100.0,31.51,-0.0211784825746333,2.766519278342401e+16,177966,13.88804876,518008.04508929,68.5,-1.0,168216.5,1.5,-48.81004908431771,-36.650212098024994
2014-02-22,605.4199829102,31254000.0,40.83,-0.014206494440649498,2.2899855416111484e+16,153828,12.379472380000001,398627.40952021,68.5,-1.0,167127.57142857142,1.5,-47.40133162486484,-38.80043600339297
2014-02-22,605.4199829102,31254000.0,40.83,-0.014206494440649498,2.8383795747230964e+16,153828,12.379472380000001,398627.40952021,68.5,-1.0,167238.35714285713,1.5,-47.40133162486484,-38.80043600339297
2014-02-23,605.8200073242,31434400.0,38.65,-0.009144765940590771,2.794147874295669e+16,160345,11.98311215,409797.5476882,68.5,-1.0,163471.35714285713,1.5,-45.72553871477646,-40.185456545669666
2014-02-24,546.3200073242,57893900.0,32.43,-0.012377344968181289,2.919605474605808e+16,213025,15.21980169,771408.0932469,68.5,-1.0,167083.7857142857,1.5,-48.637945537758355,-41.875954344087404
2014-02-25,538.7100219727,126314000.0,33.33,-0.013508680836778864,2.743850659805193e+16,208076,17.70847152,1087064.30704939,68.5,-1.0,170342.7142857143,1.5,-50.97253153209158,-43.695269781688246
2014-02-26,582.6900024414,64642700.0,42.86,-0.006888184468361882,2.582976905471657e+16,200377,14.90739291,699373.70585924,68.5,-1.0,172179.7142857143,1.5,-48.712365062546496,-44.6986888378599
2014-02-26,582.6900024414,64642700.0,42.86,-0.006888184468361882,2.776830777530676e+16,200377,14.90739291,699373.70585924,68.5,-1.0,175831.64285714287,1.5,-48.712365062546496,-44.6986888378599
2014-02-27,578.7700195313,25540800.0,48.19,-0.0027651315495911804,2.895765497396287e+16,182436,14.36999632,567556.67527811,68.5,-1.0,179849.85714285713,1.5,-46.69915788906428,-45.09878264810078
2014-02-28,549.2600097656,28076100.0,33.33,-0.0026872036678206777,2.973212263653529e+16,195028,16.40787615,588632.98672617,68.5,-1.0,180990.42857142858,1.5,-46.94374953913746,-45.467776026308115
2014-03-01,565.6099853516,18668100.0,37.89,0.00024276504076038726,2.760291249306629e+16,180547,12.59578282,820825.78006597,68.5,-1.0,181096.64285714287,1.5,-45.29613811237266,-45.43344844352102
2014-03-02,559.7899780273,7950760.0,41.18,0.002115215006010848,2.929281631526316e+16,158859,10.82910593,551795.11425462,68.5,-1.0,181301.0,1.5,-43.953353241348736,-45.137429403086564
2014-03-04,666.7800292969,55344600.0,38.65,0.013523893235515517,2.536987795925644e+16,231057,17.38424603,1023059.64987133,68.5,-1.0,185318.7142857143,1.7,-33.865601993355085,-42.88306392114027
2014-03-05,665.5100097656,22461900.0,38.65,0.020682593709761693,3.294916734367621e+16,200783,14.32140013,684381.6735304301,68.5,-1.0,186895.14285714287,1.7,-25.677472493938467,-39.44194563569991
2014-03-06,663.8599853516,16068100.0,39.02,0.024511999102614698,2.818688857133269e+16,194730,14.65574101,624977.6715912101,68.5,-1.0,188092.57142857142,1.7,-19.10127642919963,-35.373811794399856
2014-03-07,629.1500244141,34150800.0,43.82,0.023998877962961577,3.4319013523603524e+16,179768,13.86113137,2466609.59751986,68.5,-1.0,189945.42857142858,1.7,-16.50019347401451,-31.59908813032279
2014-03-07,629.1500244141,34150800.0,43.82,0.023998877962961577,3.0387470196394204e+16,179768,13.86113137,2466609.59751986,68.5,-1.0,191798.2857142857,1.7,-16.50019347401451,-31.59908813032279
2014-03-08,617.450012207,18654200.0,37.89,0.021237647646539397,3.208925507293123e+16,170285,11.62425694,1581625.54193736,68.5,-1.0,192508.2857142857,1.7,-15.207605882068151,-28.320791680671867
2014-03-09,636.9600219727,15396500.0,35.06,0.01991403721838762,3.0903177642069148e+16,172945,12.28010559,942685.12386768,68.5,-1.0,189645.42857142858,1.7,-12.46523470043519,-25.149680284624534
2014-03-10,627.7899780273,20639800.0,33.77,0.018150742091974325,3.35659702442933e+16,207866,16.26715826,1517941.67934673,68.5,-1.0,189630.42857142858,1.9,-10.906112810749846,-22.300966789849596
2014-03-11,634.1099853516,11732500.0,46.52,0.016709826173291323,2.9932593512738064e+16,188912,15.29331241,983993.7530817001,68.5,-1.0,188811.5,1.9,-9.056132252382668,-19.65199988235621
2014-03-12,632.0999755859,18621200.0,47.09,0.015172465353409723,3.172307920793657e+16,202349,16.51719963,1054224.95045195,68.5,-1.0,188952.35714285713,1.9,-7.6638561580209625,-17.254371137489162
2014-03-13,638.1400146484,11634900.0,31.97,0.014104106553538734,3.536552615076045e+16,192686,14.65089124,763794.35893803,68.5,-1.0,189684.5,1.9,-6.003877684141912,-15.004272446819714
2014-03-13,638.1400146484,11634900.0,31.97,0.014104106553538734,3.4834229773716336e+16,192686,14.65089124,763794.35893803,68.5,-1.0,189517.2142857143,1.9,-6.003877684141912,-15.004272446819714
2014-03-15,636.1199951172,4342080.0,41.52,0.011109210390117103,2.8051023718715336e+16,146351,10.91359883,581127.45171594,68.5,-1.0,187074.64285714287,1.9,-4.2459249550872755,-11.312715814204514
2014-03-15,636.1199951172,4342080.0,41.52,0.011109210390117103,3.67237868411121e+16,146351,10.91359883,581127.45171594,68.5,-1.0,186181.2142857143,1.9,-4.2459249550872755,-11.312715814204514
2014-03-16,631.1099853516,5277290.0,31.97,0.009638917757520349,3.3253082333217804e+16,139668,12.38310041,384952.05508150003,68.5,-1.0,179653.42857142858,1.9,-3.708694258262085,-9.79191150301603
2014-03-17,622.3729858398,14648200.0,31.97,0.007518861286012812,3.827622422967977e+16,187889,13.0816633,551512.12378065,68.5,-1.0,178732.42857142858,1.9,-3.9424913171521894,-8.622027465843262
2014-03-18,614.8319702148,24011500.0,30.56,0.005126250008639367,3.089925801351701e+16,141025,9.7413767,2641974.50005163,61.5,-1.0,174896.35714285713,1.9,-4.682299475061541,-7.834081867686918
2014-03-19,609.8880004883,14228900.0,29.58,0.002926608695974974,3.1457048024775324e+16,163345,13.48145116,1103092.58099807,61.5,-1.0,173723.2857142857,1.9,-5.602952460437109,-7.387855986236957
2014-03-20,588.7700195313,20572900.0,25.37,-0.0007570762452977519,3.608964643430798e+16,165478,13.7341206,679946.0477921601,61.5,-1.0,172702.57142857142,1.9,-7.945035730900258,-7.499291935169618
2014-03-21,571.4899902344,38414100.0,29.08,-0.004995547134414196,4.144413387482822e+16,187929,14.67722865,598897.70049136,61.5,-1.0,173962.85714285713,1.9,-11.067923413996937,-8.213018230935083
2014-03-21,571.4899902344,38414100.0,29.08,-0.004995547134414196,3.374877458033732e+16,187929,14.67722865,598897.70049136,61.5,-1.0,175033.14285714287,1.9,-11.067923413996937,-8.213018230935083
2014-03-22,565.0399780273,17360700.0,30.56,-0.008056085212388228,3.4820192832140788e+16,168555,17.57915737,416657.46404187003,61.5,-1.0,172225.2142857143,1.9,-13.90303099517746,-9.351020783783559
2014-03-23,561.2719726563,9288400.0,15.97,-0.009856741411756251,4.924818821318612e+16,147986,11.13423626,332073.23546722,61.5,-1.0,169301.92857142858,1.9,-16.266411653957903,-10.734098957818428
2014-03-24,583.4119873047,22706900.0,31.97,-0.0074491948748033185,3.691594377531297e+16,192166,12.99764579,671091.2126394,61.5,-1.0,168574.57142857142,1.4,-16.166535939979667,-11.820586354250677
2014-03-24,583.4119873047,22706900.0,31.97,-0.0074491948748033185,4.215218021314963e+16,192166,12.99764579,671091.2126394,61.5,-1.0,168537.42857142858,1.4,-16.166535939979667,-11.820586354250677
2014-03-25,583.9169921875,14020100.0,28.06,-0.0055393901790331285,3.784990160054642e+16,166188,14.55404643,544130.89644404,61.5,-1.0,166644.7142857143,1.4,-15.863766419118178,-12.629222367224177
2014-03-26,580.8270263672,16401100.0,27.01,-0.004218868148056428,4.054206005980743e+16,168544,15.14818021,517428.52793715004,61.5,-1.0,168229.92857142858,1.4,-15.692263168562818,-13.241830527491906
2014-03-28,495.6659851074,58828300.0,34.64,-0.014414074691835437,4.781631844531096e+16,181617,12.32486726,823340.39659358,61.5,-1.0,170748.92857142858,1.4,-22.172538691917225,-15.02797216037697
2014-03-29,491.1719970703,11147100.0,34.64,-0.020078541637468257,4.029397454743234e+16,143684,9.82954891,398098.63434072,61.5,-1.0,171035.7857142857,1.4,-27.35549390329504,-17.493476508960587
2014-03-30,460.2730102539,42958300.0,24.81,-0.027941451881090373,4.105024970346669e+16,165857,10.849472950000001,598504.36637207,61.5,-1.0,169462.07142857142,1.4,-33.56934671917804,-20.70865055100408
2014-03-31,457.0010070801,28254000.0,24.81,-0.030822789340315498,4.512208559722372e+16,169476,12.63552771,744979.4485215,61.5,-1.0,171494.2857142857,1.4,-38.316207762931526,-24.230161993389572
2014-03-31,457.0010070801,28254000.0,24.81,-0.030822789340315498,3.752153906408797e+16,169476,12.63552771,744979.4485215,61.5,-1.0,171932.2142857143,1.4,-38.316207762931526,-24.230161993389572
2014-04-01,478.375,35685800.0,35.48,-0.026194339815040445,4.328648605082126e+16,178536,12.31562078,682805.59726107,61.5,-1.0,172864.92857142858,1.4,-39.89355862966454,-27.362841320644566
2014-04-02,437.1400146484,49647600.0,29.58,-0.03038167369894039,4.420809740564108e+16,178895,13.30279882,756997.9001989401,61.5,-1.0,172219.64285714287,1.4,-43.9641479278917,-30.683102642093992
2014-04-03,444.7179870605,40765500.0,32.89,-0.02763949706900131,5.490983082221298e+16,168017,13.3913739,777818.23549431,61.5,-1.0,170797.35714285713,1.4,-46.04782951695756,-33.75604801706671
2014-04-03,444.7179870605,40765500.0,32.89,-0.02763949706900131,4.924281410992175e+16,168017,13.3913739,777818.23549431,61.5,-1.0,170758.92857142858,1.4,-46.04782951695756,-33.75604801706671
2014-04-04,447.5260009766,22925500.0,37.11,-0.02355265676022098,4.996450225094066e+16,176906,13.52233973,665636.25902467,61.5,-1.0,172824.64285714287,1.4,-46.931580882411936,-36.391154590135756
2014-04-05,461.9070129395,13404500.0,45.36,-0.01654149039369133,4.699639716253868e+16,152433,11.16666447,727364.91322057,61.5,-1.0,169986.57142857142,1.4,-45.94194261178251,-38.30131219446511
2014-04-06,460.4989929199,10241400.0,45.95,-0.011212252240936253,4.463595644134054e+16,183298,10.34855898,439861.20008093,61.5,-1.0,169353.14285714287,1.4,-44.75535077610891,-39.592119910793876
2014-04-07,449.4230041504,15616600.0,44.13,-0.00820089230296931,4.53911641579557e+16,158520,14.19487722,464204.03500798,61.5,-1.0,168805.42857142858,1.2,-44.19920698018683,-40.51353732467247
2014-04-08,453.0859985352,10921600.0,39.39,-0.0043330319109450045,4.204926216744817e+16,164922,14.76358943,456686.27860737,61.5,-1.0,168546.7142857143,1.2,-42.96758243724173,-41.00434634718633
2014-04-09,442.7250061035,13204400.0,37.5,-0.0024125982017415668,4.989400716958958e+16,177406,20.25920875,602584.61805834,61.5,-1.0,168245.92857142858,1.2,-42.33949328917549,-41.271375735584165
2014-04-12,421.1159973145,19226500.0,38.27,-0.003452386805903405,5.486469044184568e+16,130830,9.07114824,400991.77418431,61.5,-1.0,167327.7857142857,1.2,-43.088694876688464,-41.63483956380503
2014-04-12,421.1159973145,19226500.0,38.27,-0.003452386805903405,4.938463714014797e+16,130830,9.07114824,400991.77418431,61.5,-1.0,164825.85714285713,1.2,-43.088694876688464,-41.63483956380503
2014-04-13,414.0629882813,22493500.0,30.07,-0.004081370448076853,6.072861352193373e+16,170630,10.29986168,410711.30203658,61.5,-1.0,164908.2857142857,1.2,-43.747270118822144,-42.05732567480845
2014-04-14,458.7869873047,50730200.0,46.24,0.0032439431113715934,5.375209650481977e+16,181682,15.3380664,613573.25989336,61.5,-1.0,165780.14285714287,1.2,-40.19697706599095,-41.68525595304496
2014-04-16,527.3950195313,56480100.0,55.95,0.015473696593904256,4.773451038988471e+16,183827,14.2744465,804983.4120407,61.2,1.0,166158.07142857142,1.2,-31.484317806340528,-39.64506832370407
